,country,stage,excluded_gene,Q,alpha,omega,adaptive_divergence,neutral_divergence,selected_divergence
141,ghana,gametocyte,PF3D7_1201700,0.0002158772,0.79377,0.180157,0.014943,0.082945,0.018826
142,ghana,gametocyte,PF3D7_0934600,0.0002158251,0.795684,0.182238,0.015067,0.082676,0.018936
143,ghana,gametocyte,PF3D7_1220700,0.0002158018,0.794867,0.181306,0.014966,0.082546,0.018828
144,ghana,gametocyte,PF3D7_0812900,0.0002160101,0.794743,0.181344,0.01496,0.082495,0.018824
145,ghana,gametocyte,PF3D7_1473700,0.0002161035,0.79464,0.181307,0.014959,0.082508,0.018825
146,ghana,gametocyte,PF3D7_1139600,0.0002158166,0.791375,0.1775,0.014701,0.082821,0.018576
147,ghana,gametocyte,PF3D7_1216700,0.0002159246,0.796891,0.183684,0.015018,0.081761,0.018846
148,ghana,gametocyte,PF3D7_0408600,0.0002162038,0.794243,0.180934,0.015196,0.083987,0.019133
149,ghana,gametocyte,PF3D7_0610700,0.0002158466,0.794697,0.181155,0.015016,0.082889,0.018895
150,ghana,gametocyte,PF3D7_0925100,0.0002158535,0.794784,0.181257,0.014967,0.082573,0.018832
151,ghana,gametocyte,PF3D7_0207200,0.0002158329,0.794895,0.181363,0.015036,0.082906,0.018916
152,ghana,gametocyte,PF3D7_0919200,0.0002159389,0.794694,0.18123,0.014966,0.08258,0.018832
153,ghana,gametocyte,PF3D7_1022300,0.0002159064,0.794444,0.180925,0.015093,0.083421,0.018998
154,ghana,ookinete,PF3D7_1116800,0.0002312775,0.823118,0.230682,0.015915,0.06899,0.019335
155,ghana,ookinete,PF3D7_1024000,0.0002314131,0.822932,0.230524,0.015648,0.067879,0.019015
156,ghana,ookinete,PF3D7_0512400,0.0002314582,0.820983,0.227519,0.01531,0.067289,0.018648
157,ghana,ookinete,PF3D7_0814700,0.0002314179,0.820718,0.227069,0.015326,0.067495,0.018674
